4094.07,2017-09-19
4079.23,2017-09-18
3664.81,2017-09-17
3808.84,2017-09-16
3733.45,2017-09-15
3920.6,2017-09-14
4131.98,2017-09-13
4344.65,2017-09-12
4261.67,2017-09-11
4245.44,2017-09-10
4308.82,2017-09-09
4661.0,2017-09-08
4655.04,2017-09-07
4617.25,2017-09-06
4427.84,2017-09-05
4591.63,2017-09-04
4714.08,2017-09-03
4975.04,2017-09-02
4892.01,2017-09-01
4736.05,2017-08-31
4626.52,2017-08-30
4625.68,2017-08-29
4403.93,2017-08-28
4416.59,2017-08-27
4379.28,2017-08-26
4455.7,2017-08-25
4376.39,2017-08-24
4255.78,2017-08-23
4128.76,2017-08-22
4109.14,2017-08-21
4196.29,2017-08-20
4243.26,2017-08-19
4370.13,2017-08-18
4484.7,2017-08-17
4381.23,2017-08-16
4455.97,2017-08-15
4325.13,2017-08-14
4208.39,2017-08-13
3949.92,2017-08-12
3679.72,2017-08-11
3453.45,2017-08-10
3422.76,2017-08-09
3484.85,2017-08-08
3397.68,2017-08-07
3293.29,2017-08-06
3290.01,2017-08-05
2899.33,2017-08-04
2813.31,2017-08-03
2762.53,2017-08-02
2921.35,2017-08-01
2889.62,2017-07-31
2758.53,2017-07-30
2808.76,2017-07-29
2897.45,2017-07-28
2693.32,2017-07-27
2610.76,2017-07-26
2768.08,2017-07-25
2777.26,2017-07-24
2832.18,2017-07-23
2862.42,2017-07-22
2838.41,2017-07-21
2900.7,2017-07-20
2397.17,2017-07-19
2387.61,2017-07-18
2230.49,2017-07-17
2058.77,2017-07-16
2231.14,2017-07-15
2363.25,2017-07-14
2425.22,2017-07-13
2423.71,2017-07-12
2413.47,2017-07-11
2537.16,2017-07-10
2635.49,2017-07-09
2571.34,2017-07-08
2916.14,2017-07-07
2616.72,2017-07-06
2622.65,2017-07-05
2631.59,2017-07-04
2595.0,2017-07-03
2514.28,2017-07-02
2515.27,2017-07-01
2559.25,2017-06-30
2588.83,2017-06-29
2603.98,2017-06-28
2552.45,2017-06-27
2615.25,2017-06-26
2682.26,2017-06-25
2757.94,2017-06-24
2765.17,2017-06-23
2723.74,2017-06-22
2772.01,2017-06-21
2763.45,2017-06-20
2662.85,2017-06-19
2662.1,2017-06-18
2685.19,2017-06-17
2539.92,2017-06-16
2534.71,2017-06-15
2786.83,2017-06-14
2789.04,2017-06-13
2997.26,2017-06-12
2996.6,2017-06-11
2950.99,2017-06-10
2901.71,2017-06-09
2815.3,2017-06-08
2869.38,2017-06-07
2999.91,2017-06-06
2686.81,2017-06-05
2585.89,2017-06-04
2581.91,2017-06-03
2488.55,2017-06-02
2448.39,2017-06-01
2311.08,2017-05-31
2301.96,2017-05-30
2307.05,2017-05-29
2267.34,2017-05-28
2260.2,2017-05-27
2573.79,2017-05-26
2763.71,2017-05-25
2523.72,2017-05-24
2320.82,2017-05-23
2303.9,2017-05-22
2119.08,2017-05-21
2084.73,2017-05-20
2004.52,2017-05-19
1904.48,2017-05-18
1864.05,2017-05-17
1785.94,2017-05-16
1812.8,2017-05-15
1831.42,2017-05-14
1812.99,2017-05-13
1856.15,2017-05-12
1873.93,2017-05-11
1788.44,2017-05-10
1833.49,2017-05-09
1723.35,2017-05-08
1596.72,2017-05-07
1578.8,2017-05-06
1618.03,2017-05-05
1608.91,2017-05-04
1492.77,2017-05-03
1473.9,2017-05-02
1434.32,2017-05-01
1347.91,2017-04-30
1327.2,2017-04-29
1331.28,2017-04-28
1319.7,2017-04-27
1294.83,2017-04-26
1267.58,2017-04-25
1250.94,2017-04-24
1232.2,2017-04-23
1235.56,2017-04-22
1235.94,2017-04-21
1240.79,2017-04-20
1215.51,2017-04-19
1217.57,2017-04-18
1194.9,2017-04-17
1187.22,2017-04-16
1188.0,2017-04-15
1190.8,2017-04-14
1205.89,2017-04-13
1207.14,2017-04-12
1208.07,2017-04-11
1190.34,2017-04-10
1197.21,2017-04-09
1184.98,2017-04-08
1186.58,2017-04-07
1188.37,2017-04-06
1135.09,2017-04-05
1156.44,2017-04-04
1151.74,2017-04-03
1107.59,2017-04-02
1091.72,2017-04-01
1074.92,2017-03-31
1049.29,2017-03-30
1055.13,2017-03-29
1064.65,2017-03-28
1046.4,2017-03-27
1007.96,2017-03-26
975.76,2017-03-25
1040.47,2017-03-24
1058.01,2017-03-23
1120.65,2017-03-22
1122.43,2017-03-21
1063.03,2017-03-20
1069.91,2017-03-19
1114.07,2017-03-18
1180.16,2017-03-17
1257.98,2017-03-16
1251.61,2017-03-15
1244.81,2017-03-14
1237.37,2017-03-13
1226.98,2017-03-12
1193.83,2017-03-11
1270.47,2017-03-10
1197.46,2017-03-09
1232.16,2017-03-08
1275.55,2017-03-07
1276.0,2017-03-06
1267.29,2017-03-05
